"","qser_no","survey_year","ID","k_group","problem","relationship","gender","age","edu","education","work","marstat","children","livstat","livwhere","meet","tele","adl_who_help","iadl_who_help"
"167","B371",1996,"B371_91",NA,0,91,2,54,6,6,4,1,5,0,0,0,0,88,31
"168","B3731",1996,"B3731_92",NA,0,92,2,44,6,6,1,1,3,0,0,0,0,88,88
"169","B3733",1996,"B3733_93",NA,0,93,2,42,12,12,1,1,2,3,3,2,2,88,88
"170","B3747",1996,"B3747_91",NA,0,91,2,34,9,9,4,1,4,0,0,0,0,88,88
"171","B3902",1996,"B3902_91",NA,0,91,2,46,9,9,1,1,3,0,0,0,0,88,88
"172","B3909",1996,"B3909_92",NA,0,92,2,33,12,12,4,1,2,0,0,0,0,88,2
"173","B3910",1996,"B3910_91",NA,0,91,2,52,16,16,1,1,3,0,0,0,0,88,0
"174","B3922",1996,"B3922_94",NA,0,94,2,26,9,9,4,1,3,0,0,0,0,88,34
"175","B3939",1996,"B3939_93",NA,0,93,2,41,12,12,1,1,2,0,0,0,0,88,33
"176","B3974",1996,"B3974_94",NA,0,94,2,34,6,6,4,1,4,0,0,0,0,88,94
"177","B399",1996,"B399_91",NA,0,91,2,45,9,9,4,1,3,0,0,0,0,88,91
"178","B3994",1996,"B3994_91",NA,0,91,2,34,12,12,4,1,3,0,0,0,0,0,91
"179","B4045",1996,"B4045_95",NA,0,95,2,23,12,12,1,1,0,0,0,0,0,88,2
"180","B408",1996,"B408_93",NA,0,93,2,30,6,6,1,1,2,0,0,0,0,88,88
"181","B409",1996,"B409_92",NA,0,92,2,32,12,12,1,1,1,0,0,0,0,88,88
"182","B417",1996,"B417_91",NA,0,91,2,28,15,16,1,1,0,0,0,0,0,88,2
"183","B419",1996,"B419_91",NA,0,91,2,29,12,12,1,1,0,0,0,0,0,88,88
"184","B427",1996,"B427_91",NA,0,91,2,51,9,9,1,1,2,0,0,0,0,88,0
"185","B451",1996,"B451_93",NA,0,93,2,32,12,12,1,1,2,0,0,0,0,88,88
"186","B458",1996,"B458_91",NA,0,91,2,26,9,9,1,1,1,0,0,0,0,88,88
"187","B494",1996,"B494_91",NA,0,91,2,38,12,12,1,1,2,0,0,0,0,88,88
"188","B511",1996,"B511_91",NA,0,91,2,33,6,6,1,1,3,0,0,0,0,88,88
"189","B521",1996,"B521_91",NA,0,91,2,36,9,9,4,1,0,0,0,0,0,88,88
"190","B523",1996,"B523_93",NA,0,93,2,40,9,9,1,1,2,0,0,0,0,88,33
"191","B530",1996,"B530_91",NA,0,91,2,26,12,12,1,1,0,0,0,0,0,88,88
"192","B540",1996,"B540_95",NA,0,95,2,22,12,12,4,1,1,0,0,0,0,88,88
"193","B56",1996,"B56_94",NA,0,94,2,37,6,6,1,1,2,0,0,0,0,88,94
"194","B594",1996,"B594_93",NA,0,93,2,33,12,12,1,1,2,0,0,0,0,88,88
"195","B642",1996,"B642_91",NA,0,91,2,38,12,12,1,1,3,0,0,0,0,88,88
"196","B643",1996,"B643_91",NA,0,91,2,38,12,12,1,1,3,0,0,0,0,88,2
"197","B650",1996,"B650_91",NA,0,91,2,43,12,12,1,1,3,0,0,0,0,88,31
"198","B688",1996,"B688_94",NA,0,94,2,32,15,16,1,1,2,0,0,0,0,88,88
"199","B761",1996,"B761_91",NA,0,91,2,56,90,0,4,1,4,0,0,0,0,88,88
"200","B825",1996,"B825_91",NA,0,91,2,48,6,6,1,1,1,0,0,0,0,88,0
"201","B828",1996,"B828_93",NA,0,93,2,41,9,9,1,1,0,0,0,0,0,33,33
"202","B859",1996,"B859_92",NA,0,92,2,47,6,6,4,1,4,0,0,0,0,92,32
"203","B895",1996,"B895_92",NA,0,92,2,40,12,12,1,1,2,0,0,0,0,88,88
"204","B907",1996,"B907_92",NA,0,92,2,30,14,16,1,1,1,0,0,0,0,88,88
"205","B911",1996,"B911_95",NA,0,95,2,45,6,6,1,1,4,0,0,0,0,88,35
"206","B937",1996,"B937_93",NA,0,93,2,39,16,16,1,1,1,0,0,0,0,88,33
"207","B960",1996,"B960_91",NA,0,91,2,27,14,16,1,1,0,0,0,0,0,88,88
"208","B971",1996,"B971_91",NA,0,91,2,29,9,9,1,1,1,0,0,0,0,88,88
"209","B986",1996,"B986_91",NA,0,91,2,53,6,6,4,1,3,0,0,0,0,88,88
"210","B1174",1996,"B1174_94",NA,0,94,2,24,9,9,4,1,1,0,0,0,0,88,88
"211","B1191",1996,"B1191_91",NA,0,91,2,27,16,16,1,1,0,3,4,3,2,88,2
